INFO flwr 2024-01-30 23:06:23,105 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-01-30 23:06:23,168 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-01-30 23:06:23,185 | server.py:89 | Initializing global parameters
INFO flwr 2024-01-30 23:06:23,185 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-01-30 23:07:18,777 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-01-30 23:07:18,777 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-01-30 23:07:18,777 | server.py:104 | FL starting
DEBUG flwr 2024-01-30 23:07:25,243 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:26,629 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-01-30 23:07:26,630 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-01-30 23:07:26,630 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:27,425 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:27,426 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:28,787 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:28,788 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:29,089 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:29,090 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:30,389 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:30,390 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:30,855 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:30,856 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:32,097 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-01-30 23:07:32,098 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-30 23:07:32,379 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
