INFO flwr 2024-01-31 00:38:38,663 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-01-31 00:38:38,715 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-01-31 00:38:38,731 | server.py:89 | Initializing global parameters
INFO flwr 2024-01-31 00:38:38,731 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-01-31 00:38:55,357 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-01-31 00:38:55,357 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-01-31 00:38:55,358 | server.py:104 | FL starting
DEBUG flwr 2024-01-31 00:39:05,792 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:07,078 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-01-31 00:39:07,079 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-01-31 00:39:07,080 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:07,869 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:07,870 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:08,914 | server.py:236 | fit_round 2 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:08,915 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:09,190 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:09,191 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:10,212 | server.py:236 | fit_round 3 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:10,213 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:10,534 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:10,534 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:11,534 | server.py:236 | fit_round 4 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:11,535 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:11,836 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:11,837 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:12,901 | server.py:236 | fit_round 5 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:12,902 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:13,268 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:13,269 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:14,290 | server.py:236 | fit_round 6 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:14,291 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:14,571 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:14,572 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:15,630 | server.py:236 | fit_round 7 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:15,631 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:15,900 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:15,901 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:16,910 | server.py:236 | fit_round 8 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:16,911 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:17,159 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
DEBUG flwr 2024-01-31 00:39:17,160 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flwr 2024-01-31 00:39:18,175 | server.py:236 | fit_round 9 received 2 results and 0 failures
