INFO flwr 2024-01-31 00:45:28,250 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
INFO flwr 2024-01-31 00:45:28,345 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2024-01-31 00:45:28,345 | server.py:89 | Initializing global parameters
INFO flwr 2024-01-31 00:45:28,345 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-01-31 00:45:32,598 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-01-31 00:45:32,598 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-01-31 00:45:32,598 | server.py:104 | FL starting
DEBUG flwr 2024-01-31 00:45:38,453 | server.py:222 | fit_round 1: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:39,908 | server.py:236 | fit_round 1 received 3 results and 0 failures
WARNING flwr 2024-01-31 00:45:39,910 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2024-01-31 00:45:39,910 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:40,703 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:40,705 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:42,024 | server.py:236 | fit_round 2 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:42,026 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:42,407 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:42,408 | server.py:222 | fit_round 3: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:43,701 | server.py:236 | fit_round 3 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:43,702 | server.py:173 | evaluate_round 3: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:44,102 | server.py:187 | evaluate_round 3 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:44,102 | server.py:222 | fit_round 4: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:45,317 | server.py:236 | fit_round 4 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:45,319 | server.py:173 | evaluate_round 4: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:45,606 | server.py:187 | evaluate_round 4 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:45,607 | server.py:222 | fit_round 5: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:46,880 | server.py:236 | fit_round 5 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:46,881 | server.py:173 | evaluate_round 5: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:47,154 | server.py:187 | evaluate_round 5 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:47,155 | server.py:222 | fit_round 6: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:48,454 | server.py:236 | fit_round 6 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:48,455 | server.py:173 | evaluate_round 6: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:48,771 | server.py:187 | evaluate_round 6 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:48,771 | server.py:222 | fit_round 7: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:50,015 | server.py:236 | fit_round 7 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:50,016 | server.py:173 | evaluate_round 7: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:50,308 | server.py:187 | evaluate_round 7 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:50,309 | server.py:222 | fit_round 8: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:51,584 | server.py:236 | fit_round 8 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:51,586 | server.py:173 | evaluate_round 8: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:51,887 | server.py:187 | evaluate_round 8 received 3 results and 0 failures
DEBUG flwr 2024-01-31 00:45:51,887 | server.py:222 | fit_round 9: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-01-31 00:45:53,158 | server.py:236 | fit_round 9 received 3 results and 0 failures
