2023-07-30 11:18:10,068 INFO    StreamThr :11876 [internal.py:wandb_internal():86] W&B internal server running at pid: 11876, started at: 2023-07-30 11:18:10.068428
2023-07-30 11:18:10,068 DEBUG   HandlerThread:11876 [handler.py:handle_request():144] handle_request: status
2023-07-30 11:18:10,078 INFO    WriterThread:11876 [datastore.py:open_for_write():85] open: E:\Federated_learning_flower\experiments\Presentation\deeplearning\wandb\run-20230730_111810-ujyj74r0\run-ujyj74r0.wandb
2023-07-30 11:18:10,078 DEBUG   SenderThread:11876 [sender.py:send():375] send: header
2023-07-30 11:18:10,288 DEBUG   SenderThread:11876 [sender.py:send():375] send: run
2023-07-30 11:18:10,738 DEBUG   HandlerThread:11876 [handler.py:handle_request():144] handle_request: check_version
2023-07-30 11:18:10,748 INFO    SenderThread:11876 [dir_watcher.py:__init__():219] watching files in: E:\Federated_learning_flower\experiments\Presentation\deeplearning\wandb\run-20230730_111810-ujyj74r0\files
2023-07-30 11:18:10,748 INFO    SenderThread:11876 [sender.py:_start_run_threads():1124] run started: ujyj74r0 with start time 1690712290.068428
2023-07-30 11:18:10,748 DEBUG   SenderThread:11876 [sender.py:send_request():402] send_request: summary_record
2023-07-30 11:18:10,748 INFO    SenderThread:11876 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-07-30 11:18:10,748 DEBUG   SenderThread:11876 [sender.py:send_request():402] send_request: check_version
2023-07-30 11:18:10,809 DEBUG   HandlerThread:11876 [handler.py:handle_request():144] handle_request: run_start
2023-07-30 11:18:10,856 DEBUG   HandlerThread:11876 [system_info.py:__init__():31] System info init
2023-07-30 11:18:10,856 DEBUG   HandlerThread:11876 [system_info.py:__init__():46] System info init done
2023-07-30 11:18:10,858 INFO    HandlerThread:11876 [system_monitor.py:start():181] Starting system monitor
2023-07-30 11:18:10,858 INFO    SystemMonitor:11876 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-30 11:18:10,858 INFO    HandlerThread:11876 [system_monitor.py:probe():201] Collecting system info
2023-07-30 11:18:10,861 INFO    SystemMonitor:11876 [interfaces.py:start():190] Started cpu monitoring
2023-07-30 11:18:10,861 INFO    SystemMonitor:11876 [interfaces.py:start():190] Started disk monitoring
2023-07-30 11:18:10,861 INFO    SystemMonitor:11876 [interfaces.py:start():190] Started gpu monitoring
2023-07-30 11:18:10,878 INFO    SystemMonitor:11876 [interfaces.py:start():190] Started memory monitoring
2023-07-30 11:18:10,888 INFO    SystemMonitor:11876 [interfaces.py:start():190] Started network monitoring
2023-07-30 11:18:10,908 DEBUG   HandlerThread:11876 [system_info.py:probe():195] Probing system
2023-07-30 11:18:10,908 DEBUG   HandlerThread:11876 [system_info.py:_probe_git():180] Probing git
2023-07-30 11:18:10,988 DEBUG   HandlerThread:11876 [system_info.py:_probe_git():188] Probing git done
2023-07-30 11:18:10,988 DEBUG   HandlerThread:11876 [system_info.py:probe():240] Probing system done
