2023-07-30 11:24:59,866 INFO    StreamThr :25332 [internal.py:wandb_internal():86] W&B internal server running at pid: 25332, started at: 2023-07-30 11:24:59.866743
2023-07-30 11:24:59,866 DEBUG   HandlerThread:25332 [handler.py:handle_request():144] handle_request: status
2023-07-30 11:24:59,882 INFO    WriterThread:25332 [datastore.py:open_for_write():85] open: E:\Federated_learning_flower\experiments\Presentation\deeplearning\wandb\run-20230730_112459-merzj0x3\run-merzj0x3.wandb
2023-07-30 11:24:59,882 DEBUG   SenderThread:25332 [sender.py:send():375] send: header
2023-07-30 11:25:00,055 DEBUG   SenderThread:25332 [sender.py:send():375] send: run
2023-07-30 11:25:00,462 DEBUG   HandlerThread:25332 [handler.py:handle_request():144] handle_request: check_version
2023-07-30 11:25:00,462 INFO    SenderThread:25332 [dir_watcher.py:__init__():219] watching files in: E:\Federated_learning_flower\experiments\Presentation\deeplearning\wandb\run-20230730_112459-merzj0x3\files
2023-07-30 11:25:00,462 INFO    SenderThread:25332 [sender.py:_start_run_threads():1124] run started: merzj0x3 with start time 1690712699.866742
2023-07-30 11:25:00,462 DEBUG   SenderThread:25332 [sender.py:send_request():402] send_request: summary_record
2023-07-30 11:25:00,462 INFO    SenderThread:25332 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-07-30 11:25:00,462 DEBUG   SenderThread:25332 [sender.py:send_request():402] send_request: check_version
2023-07-30 11:25:00,541 DEBUG   HandlerThread:25332 [handler.py:handle_request():144] handle_request: run_start
2023-07-30 11:25:00,572 DEBUG   HandlerThread:25332 [system_info.py:__init__():31] System info init
2023-07-30 11:25:00,572 DEBUG   HandlerThread:25332 [system_info.py:__init__():46] System info init done
2023-07-30 11:25:00,572 INFO    HandlerThread:25332 [system_monitor.py:start():181] Starting system monitor
2023-07-30 11:25:00,572 INFO    SystemMonitor:25332 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-30 11:25:00,572 INFO    HandlerThread:25332 [system_monitor.py:probe():201] Collecting system info
2023-07-30 11:25:00,572 INFO    SystemMonitor:25332 [interfaces.py:start():190] Started cpu monitoring
2023-07-30 11:25:00,572 INFO    SystemMonitor:25332 [interfaces.py:start():190] Started disk monitoring
2023-07-30 11:25:00,572 INFO    SystemMonitor:25332 [interfaces.py:start():190] Started gpu monitoring
2023-07-30 11:25:00,588 INFO    SystemMonitor:25332 [interfaces.py:start():190] Started memory monitoring
2023-07-30 11:25:00,603 INFO    SystemMonitor:25332 [interfaces.py:start():190] Started network monitoring
2023-07-30 11:25:00,603 DEBUG   HandlerThread:25332 [system_info.py:probe():195] Probing system
2023-07-30 11:25:00,603 DEBUG   HandlerThread:25332 [system_info.py:_probe_git():180] Probing git
2023-07-30 11:25:00,666 DEBUG   HandlerThread:25332 [system_info.py:_probe_git():188] Probing git done
2023-07-30 11:25:00,666 DEBUG   HandlerThread:25332 [system_info.py:probe():240] Probing system done
